"protein","mean","sd","min","max","n_neg"
"pregnancy-associated plasma protein A, pappalysin 1",3.83724151847769,1.04568596255947,2.45695098271784,10.6357402319427,0
"interleukin 16",7.2673128662561,0.620384361968674,5.69879164714359,9.28167359533401,0
"interleukin 18 (interferon-gamma-inducing factor)_1",9.41392043509264,0.811200525373639,7.28395917259664,12.8215700144739,0
"interleukin 18 (interferon-gamma-inducing factor)_2",9.2380411376278,0.905167189383312,7.03654306646858,12.5649757778157,0
"selectin P ligand",5.77999418315461,0.471420057588165,3.47379192361106,6.88528580959833,0
"advanced glycosylation end product-specific receptor",5.48469491549013,0.684878126969055,3.46509300200887,7.29560065706926,0
"angiopoietin 1",10.3622206179415,0.837110214451418,7.39578415336367,12.5561404231952,0
"protease, serine, 8",9.65074865923249,0.632278259788996,8.11410428421318,11.4658649435175,0
"2,4-dienoyl CoA reductase 1, mitochondrial",8.87989222399153,0.854653992512693,5.73403950655479,10.7826806281685,0
"ADAM metallopeptidase with thrombospondin type 1 motif, 13",5.90365117555386,0.452583264388316,4.81377310950848,7.61363487467195,0
"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12",0.922114687715567,1.45203721573176,-1.82689091077682,6.14135264678742,59
"osteoclast associated, immunoglobulin-like receptor",10.6702613238997,0.660915347016746,8.85004853637918,12.4231899243215,0
"interleukin 27;Epstein-Barr virus induced 3",6.08582934122433,0.8090500325164,4.27980586846894,8.61319340999629,0
"interleukin 17D",2.70362484038341,0.423550543296697,1.57917280663476,4.215932297048,0
"chemokine (C-C motif) ligand 17",9.37324036334683,1.37448768112768,6.02689239494524,13.2124426002655,0
"hepatitis A virus cellular receptor 1_1",8.30525620128924,1.27995876561994,5.62094233993367,12.4721683575653,0
"hepatitis A virus cellular receptor 1_2",9.20060073468751,1.26390593801752,6.49806194852997,13.1989173228988,0
"V-set and immunoglobulin domain containing 2",3.75737487762905,0.72581688166172,2.34112921563964,6.41142765494924,0
"heparin-binding EGF-like growth factor",6.07099236725145,0.980847634201633,3.6682452457989,8.1133926530931,0
"sortilin 1",8.80992632588771,0.39887164208772,7.1849470657825,9.64745632090339,0
"chymotrypsin C (caldecrin)",10.3428146248052,1.2804343067044,4.65592691672254,12.7425181975685,0
"programmed cell death 1 ligand 2",3.44865214832711,0.408377545159754,2.36402237253023,4.58814071106333,0
"protease, serine 27",9.10318904873214,0.676015307683743,6.95809319166044,10.8405003806495,0
"spondin 2, extracellular matrix protein",10.6115225918926,0.65191010261028,8.65122214469336,12.2189922270737,0
"BOC cell adhesion associated, oncogene regulated",4.87122627433181,0.53817426178656,3.65144830165162,6.14145080920291,0
"angiotensin I converting enzyme 2",4.37661380363809,1.02618688199018,2.54505422497701,7.27055266424859,0
"fibroblast growth factor 23_1",3.76288340898079,1.03598264773935,2.28276580911041,9.58806025825959,0
"fibroblast growth factor 23_2",3.45604369668864,0.971962203590107,1.98485894023677,9.16645674153425,0
"interleukin 1 receptor-like 2",4.29906021057711,0.595000019685629,2.45666290117138,6.05272573664317,0
"SLAM family member 7",4.05152765237059,0.903009455860962,1.76780878315345,6.99159079191114,0
"fibroblast growth factor 21_1",7.54246171117443,2.22479945001069,3.30180214501641,13.9202337834654,0
"fibroblast growth factor 21_2",6.05594013741864,2.04354165109712,2.01313226852024,11.8512832917996,0
"macrophage receptor with collagenous structure",7.63020579101215,0.530600392469347,5.94052607524118,8.80280991578691,0
"CD84 molecule",6.97203642652723,0.558538091792021,5.56137167020163,8.08772817051503,0
"hydroxyacid oxidase (glycolate oxidase) 1",4.86458165879453,1.88226183070832,1.10411028891903,9.59506837895429,0
"growth differentiation factor 2",7.33821353513425,0.833610927313427,4.71305890836395,9.1710950693331,0
"integrin beta 1 binding protein (melusin) 2",6.75641144109398,1.25906765801179,2.73387587325999,9.22001299344202,0
"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma",8.84492477258665,1.15414599634591,4.86970426248579,10.9678607073027,0
"tumor necrosis factor receptor superfamily, member 11a, NFKB activator",6.66731217493896,0.758535930232596,5.30627982193628,10.2942129196801,0
"tumor necrosis factor receptor superfamily, member 11b",10.4163261476879,0.783420616508874,8.34559631119833,12.3629204603383,0
"chemokine (C-X-C motif) ligand 11",9.64420530303694,1.08342426945075,7.05205008823568,12.4011952565176,0
"tumor necrosis factor (ligand) superfamily, member 11",3.78838714066429,1.06348182561623,1.2321908874448,6.14144884078123,0
"axin 1",7.81545475097679,1.33166438031532,4.02976676315398,10.5973174854696,0
"chemokine (C-C motif) ligand 25",6.19485439644184,0.673272307043235,4.15070675486271,8.32233316942619,0
"tumor necrosis factor (ligand) superfamily, member 12",10.1954873057641,0.9040886541134,6.95898602229427,12.755393585291,0
"tumor necrosis factor (ligand) superfamily, member 14",5.72269942400733,0.662845613203083,3.93241451484746,8.70464656878088,0
"STAM binding protein",7.76700400148591,1.20072038731863,4.52184555684443,10.0904681721622,0
"fibroblast growth factor 19",8.23678988374588,1.30938370677301,4.01884746692881,12.3071739503637,0
"interleukin 33",1.27821230064274,0.335242235783018,0.224485612251353,2.22667374011717,0
"plasminogen activator, urokinase",9.91654253000938,0.70407232967754,7.67224826001667,11.8227669698582,0
"adenosine deaminase",4.74485562892808,0.508316084488675,3.59661327468403,6.35055027641873,0
"transforming growth factor, alpha",3.82995490184561,0.567732162452979,2.87086629228088,6.23829173389395,0
"transforming growth factor, beta 1",8.18819254890661,0.493050462622319,6.76668503483814,9.5023149456171,0
"nerve growth factor (beta polypeptide)",1.72194079787973,0.169924337940294,1.22337158908288,2.38102580021883,0
"lymphotoxin alpha",4.55242727394821,0.666872587593529,2.66412528092878,7.27695302942483,0
"tumor necrosis factor",1.2257000684488,0.681813529468359,-0.268231362490445,3.81538561262552,2
"interferon, gamma",1.64497191635759,1.82235651903881,-1.68562303815451,7.10223337024476,34
"interleukin 1, alpha",0.812024434111091,0.41683943962996,-0.465347521254924,2.60871798242499,4
"chemokine (C-X-C motif) ligand 10",10.0538291073159,1.43794148032954,7.14266790650957,13.2148476418704,0
"matrix metallopeptidase 1 (interstitial collagenase)",14.1864072372503,1.03554452073153,11.1379508097309,16.690306132681,0
"interleukin 4",-1.52153893099339,0.661601460522308,-2.84311046052914,1.70015866068105,233
"interleukin 5 (colony-stimulating factor, eosinophil)_1",1.19245531501255,0.966942584015149,-0.322676472395764,6.21567076583645,9
"interleukin 5 (colony-stimulating factor, eosinophil)_2",0.429373149830371,1.01509549660284,-1.04167535606848,4.65976556975547,89
"interleukin 6 (interferon, beta 2)_4",6.16234583003566,2.5902612034179,2.18272920283766,14.3150712182006,0
"interleukin 6 (interferon, beta 2)_5",5.31163758056715,2.52723667464742,1.34079921960582,13.5229783991594,0
"interleukin 6 (interferon, beta 2)_6",4.6805761332372,2.46996256985262,1.31031265801976,12.7017991085733,0
"CD5 molecule",4.79473796444497,1.34830095523687,1.84178522841411,8.05296143294681,0
"matrix metallopeptidase 10 (stromelysin 2)",6.04747895660563,0.796532670713562,3.8555906929878,9.19702687918748,0
"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)_3",9.89422966581373,0.781605456474327,7.41365865751659,11.9560047166679,0
"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)_4",10.7298285017809,0.822773873769857,8.1573678504674,12.9747960559342,0
"colony stimulating factor 1 (macrophage)",9.94347306161915,0.618742202661403,8.38246224668817,11.5145403031695,0
"interleukin 8",6.86529889868071,0.862273293260377,5.23149665892829,10.0194098920414,0
"chemokine (C-C motif) ligand 3_3",3.57514145963369,1.20618990828518,1.47905911356891,10.3478817218803,0
"chemokine (C-C motif) ligand 3_4",2.38042895742696,1.32674584488257,0.138234604115102,9.91037448652275,0
"interleukin 7",4.57272579844499,0.718990708815982,2.72625044645356,6.51334176071178,0
"chemokine (C-C motif) ligand 4",2.91540434039734,0.735275194450759,1.62917384963589,6.63150464867083,0
"chemokine (C-C motif) ligand 2",11.3316945458775,1.07379879556445,8.85958187795909,14.2585655220273,0
"oncostatin M",4.61337166687288,1.06396589732598,2.46822675119491,8.06776480141995,0
"hepatocyte growth factor (hepapoietin A; scatter factor)",9.46881919652693,1.03193694954677,7.86732159970317,12.9490106497732,0
"interleukin 2 receptor, beta",1.33128686333508,0.282172816982301,0.541270209515322,2.48701831838422,0
"leukemia inhibitory factor",1.31113629581862,0.557047305583937,0.497734861533905,3.70117766128555,0
"vascular endothelial growth factor A",10.8703650848424,0.722577287666943,9.09214469524906,12.8888808822119,0
"neurotrophin 3",2.19172574801096,0.561129759127693,0.700058570840106,5.21017842380447,0
"KIT ligand_3",9.58037080115783,1.11422277357385,6.44742775051451,11.7885606118074,0
"KIT ligand_4",9.00946280306345,1.13384912701906,5.99619938758399,11.3730865417574,0
"interleukin 10_1",4.73701854669487,1.23740503149174,2.79934276280267,9.28967860971959,0
"interleukin 10_2",3.55628653715487,1.29863896811959,1.48697840161267,8.80539110620506,0
"CD40 molecule, TNF receptor superfamily member 5",12.3316443074638,0.571695832888761,10.486080750317,13.7379827503205,0
"cystatin D",7.03182723705737,0.653014813234485,5.69776412314977,8.90219580825065,0
"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)",5.19407011736192,0.944579473185885,2.08250923129815,7.1386517323561,0
"interleukin 13",-0.589885359869818,0.510537285877649,-1.61219349910436,1.85252982668863,214
"glial cell derived neurotrophic factor",2.44650050280924,0.408057077484802,1.55804167897652,3.80378809313776,0
"leukemia inhibitory factor receptor alpha",3.52169383100299,0.476869158415827,2.54419448831997,6.48906107647748,0
